Iteration                Wall_Time                Samples                  Total_FPS                Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Agent_Acc           Disc_Demo_Acc            Disc_Agent_Logit         Disc_Demo_Logit          Disc_Logit_Loss          Disc_Weight_Decay        Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Collection_Time          Backward_Time            Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.006313110854890612     131072                   5767.186568059782        131.44720458984375       296.7109375              4096                     2.1937015056610107       19.5                     2                        3.0810296535491943       2.0953707695007324       -0.014366067945957184    0.07834777981042862      1.0001521110534668       2.995939939864911e-05    0.2000049650669098       0.011016043834388256     0.9073807001113892       1.0                      -3.337989568710327       2.767042875289917        0.20926998555660248      168.35401916503906       -1.3842244148254395      1.4872568845748901       0.42135006189346313      0.8273748755455017       4.103668928146362        1.0929689407348633       0.3196048140525818       0.3988381326198578       1.0                      
25                       0.027144715388615927     3407872                  9739.933225743716        133.0336456298828        299.665771484375         4096                     132.34996032714844       296.877197265625         8322                     13.032818794250488       12.277640342712402       -0.017021872103214264    0.08715667575597763      1.0006784200668335       5.401625458034687e-05    0.15444019436836243      0.014619000256061554     0.999420166015625        1.0                      -3.421377182006836       2.658289670944214        0.1882273256778717       168.1548309326172        -0.5893428325653076      3.5847949981689453       0.10993623733520508      0.1179606020450592       1.5665256977081299       1.04632568359375         0.3195345997810364       0.40334102511405945      1.0                      
50                       0.047853960659768845     6684672                  9470.221251795834        128.58433532714844       299.07861328125          4096                     132.61573791503906       297.2678527832031        8303                     10.798349380493164       10.255415916442871       -0.015526293776929379    0.08640899509191513      1.0006355047225952       5.371651059249416e-05    0.11169194430112839      0.009674904868006706     0.9992614984512329       1.0                      -4.4165358543396         2.818387031555176        0.20902517437934875      168.0592041015625        -0.37663373351097107     3.261456251144409        0.058237750083208084     0.09876355528831482      1.6335351467132568       1.04864501953125         0.3194701373577118       0.4074022173881531       1.0                      
75                       0.06899931636121538      9961472                  9604.402116751153        130.940185546875         299.46875                4096                     130.07545471191406       296.41064453125          8338                     12.207072257995605       11.53629207611084        -0.014270163141191006    0.08733978122472763      0.9999255537986755       5.5307911679847166e-05   0.13701006770133972      0.011881772428750992     0.9990814328193665       1.0                      -3.652292013168335       2.6770167350769043       0.1861429512500763       167.84683227539062       -0.18579113483428955     3.457000494003296        0.10165415704250336      0.1272096037864685       1.5955278873443604       1.047591209411621        0.319418340921402        0.4114459156990051       1.0                      
100                      0.09046285019980536      13238272                 9401.694364725892        132.6912841796875        299.163330078125         4096                     129.7547607421875        295.3686828613281        8380                     12.376769065856934       11.614575386047363       -0.014730826020240784    0.09039001911878586      1.0001558065414429       3.4595206670928746e-05   0.15538492798805237      0.015562119893729687     0.9984344840049744       1.0                      -3.5130410194396973      2.7304139137268066       0.19676397740840912      167.73385620117188       -0.17517255246639252     3.4659295082092285       0.0984576940536499       0.13902737200260162      1.805311918258667        1.0469682216644287       0.31936752796173096      0.4152110815048218       1.0                      
125                      0.11169853336281246      16515072                 9476.59797002472         131.58180236816406       299.368896484375         4096                     131.6273651123047        295.5061950683594        8380                     11.870390892028809       11.357872009277344       -0.01540565025061369     0.08768615871667862      1.0003633499145508       3.2693238608771935e-05   0.10558518022298813      0.008038660511374474     0.9986831545829773       1.0                      -4.3508172035217285      2.7744510173797607       0.22121910750865936      167.65972900390625       -0.2647590935230255      3.424043655395508        0.06356595456600189      0.1250198781490326       1.7478339672088623       1.0464837551116943       0.31931158900260925      0.41857439279556274      1.0                      
150                      0.13299909724129572      19791872                 9467.325979739913        134.1563720703125        299.439208984375         4096                     132.10374450683594       295.915283203125         8372                     12.11190128326416        11.695830345153809       -0.016049643978476524    0.07860107719898224      1.0001202821731567       3.8559901440748945e-05   0.0864243283867836       0.006156852934509516     0.998645007610321        1.0                      -4.764256477355957       2.9879491329193115       0.25413766503334045      167.60423278808594       -0.26776057481765747     3.490044355392456        0.046633630990982056     0.12554334104061127      1.7598426342010498       1.0464816093444824       0.3192603290081024       0.42182013392448425      1.0                      
175                      0.1543164504898919       23068672                 9216.766136911496        135.44158935546875       298.891845703125         4096                     133.65940856933594       296.2360534667969        8347                     13.401033401489258       12.891555786132812       -0.015500281937420368    0.09167785942554474      1.0002717971801758       5.171353041077964e-05    0.10499550402164459      0.008406881242990494     0.998858630657196        1.0                      -4.183872699737549       2.8619401454925537       0.25433191657066345      167.47442626953125       -0.3218192160129547      3.6684978008270264       0.06356236338615417      0.1168820783495903       1.7481935024261475       1.0474565029144287       0.31920233368873596      0.4247996509075165       1.0                      
200                      0.17561029586527083      26345472                 9532.371241662882        135.50669860839844       299.419189453125         4096                     134.24298095703125       295.6916198730469        8363                     13.330650329589844       12.889169692993164       -0.01591535657644272     0.09613342583179474      1.000365138053894        3.078090594499372e-05    0.09147896617650986      0.006645416375249624     0.9989883303642273       1.0                      -4.712012767791748       2.9119036197662354       0.26949551701545715      167.3738555908203        -0.3146249055862427      3.6632680892944336       0.04829513281583786      0.1106557697057724       1.6689410209655762       1.0484545230865479       0.31914618611335754      0.427600234746933        1.0                      
225                      0.19686411208576626      29622272                 9438.014034998207        140.96815490722656       299.342529296875         4096                     137.20559692382812       296.14459228515625       8346                     12.370107650756836       11.96101188659668        -0.017871223390102386    0.08811797946691513      1.0005625486373901       2.3168991901911795e-05   0.08539404720067978      0.005910124164074659     0.9989990592002869       1.0                      -4.899287700653076       2.9618494510650635       0.2828490436077118       167.2683563232422        -0.31060147285461426     3.5167927742004395       0.04361717402935028      0.10946891456842422      1.7088818550109863       1.0454001426696777       0.31908440589904785      0.43005308508872986      1.0                      
